Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.50.6-172.217.9.238-54805-80-6,192.168.50.6,54805,172.217.9.238,80,6,03/11/2018 01:48:18 PM,41054,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.07448726068105,20527.0,29025.319154145403,41051.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,40,20,48.716324840454035,24.358162420227018,0.0,0.0,0.0,0.0,0.0,3,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,242,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-93.184.216.180-41488-443-6,192.168.50.9,41488,93.184.216.180,443,6,03/11/2018 01:48:26 PM,28098,5,3,126.0,48.0,39.0,0.0,25.2,15.959323293924463,24.0,0.0,16.0,13.856406460551018,6192.611573777493,284.71777350701115,4014.0,10504.498179351549,27835.0,1.0,259.0,64.75,126.83420937060579,255.0,1.0,4.0,2.0,0.0,2.0,2.0,1,0,0,0,160,96,177.948608441882,106.76916506512919,0.0,39.0,23.666666666666668,15.107944929738128,228.25,2,0,0,6,8,0,0,0,0.0,26.625,25.2,16.0,0,0,0,174,6,6193,0,0,0,0,695,291,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
93.184.216.180-192.168.50.9-443-41488-6,93.184.216.180,443,192.168.50.9,41488,6,03/11/2018 01:48:27 PM,87,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22988.505747126437,87.0,0.0,87.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,11494.252873563219,11494.252873563219,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,291,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-93.184.216.180-41488-443-6,192.168.50.9,41488,93.184.216.180,443,6,03/11/2018 01:48:27 PM,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-93.184.216.180-41488-443-6,192.168.50.9,41488,93.184.216.180,443,6,03/11/2018 01:48:27 PM,416,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9615.384615384615,138.66666666666666,176.7606668162726,338.0,1.0,416.0,416.0,0.0,416.0,416.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,64,4807.692307692308,4807.692307692308,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,291,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-54.192.55.39-37652-443-6,192.168.50.9,37652,54.192.55.39,443,6,03/11/2018 01:48:26 PM,39405,5,3,154.0,0.0,46.0,0.0,30.8,18.780308836651223,0.0,0.0,0.0,0.0,3908.133485598274,203.01992132978046,5629.285714285714,14685.133794808566,38931.0,1.0,171.0,42.75,82.16801892058328,166.0,1.0,303.0,151.5,211.4249275747777,301.0,2.0,1,0,0,0,160,96,126.8874508311128,76.13247049866767,0.0,46.0,22.22222222222222,21.86765749787673,478.19444444444446,2,0,0,4,8,0,0,0,0.0,25.0,30.8,0.0,0,0,0,154,4,905882,0,0,0,0,1444,130,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-35.158.163.158-57658-443-6,192.168.50.9,57658,35.158.163.158,443,6,03/11/2018 01:48:26 PM,107514,5,3,154.0,0.0,46.0,0.0,30.8,18.780308836651223,0.0,0.0,0.0,0.0,1432.3715981174546,74.40891418791972,15359.142857142855,40536.89506457285,107288.0,1.0,222.0,55.49999999999999,107.67079455451233,217.0,1.0,4.0,2.0,1.4142135623730951,3.0,1.0,1,0,0,0,160,96,46.50557136744982,27.90334282046989,0.0,46.0,22.22222222222222,21.86765749787673,478.1944444444444,2,0,0,4,8,0,0,0,0.0,25.0,30.8,0.0,0,0,0,154,4,693693,0,0,0,0,527,132,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-172.217.197.154-60096-443-6,192.168.50.9,60096,172.217.197.154,443,6,03/11/2018 01:48:27 PM,53798,5,3,154.0,0.0,46.0,0.0,30.8,18.780308836651223,0.0,0.0,0.0,0.0,2862.5599464664115,148.70441280344994,7685.428571428571,20305.080479666023,53733.0,1.0,61.0,15.25,27.183021661814323,56.0,1.0,4.0,2.0,1.4142135623730951,3.0,1.0,1,0,0,0,160,96,92.94025800215621,55.76415480129373,0.0,46.0,22.22222222222222,21.86765749787673,478.1944444444444,2,0,0,4,8,0,0,0,0.0,25.0,30.8,0.0,0,0,0,154,4,2524590,0,0,0,0,318,248,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.50.9-23.194.108.29-37312-443-6,192.168.50.9,37312,23.194.108.29,443,6,03/11/2018 01:48:34 PM,23392,5,5,154.0,62.0,46.0,0.0,30.8,18.780308836651223,31.0,0.0,12.4,16.97939928266015,9233.92612859097,427.4965800273598,2599.1111111111113,7412.40496472711,22349.0,1.0,111.0,27.750000000000004,52.175185672884766,106.0,1.0,932.0,233.00000000000003,462.6669068203027,927.0,1.0,1,0,0,0,160,160,213.7482900136799,213.7482900136799,0.0,46.0,23.81818181818182,19.878723207581423,395.16363636363633,2,0,0,6,10,0,0,0,1.0,26.2,30.8,12.4,0,0,0,216,6,9234,0,0,0,0,1163,252,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.194.108.29-192.168.50.9-443-37312-6,23.194.108.29,443,192.168.50.9,37312,6,03/11/2018 01:48:35 PM,58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,17241.379310344826,17241.379310344826,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,252,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
