Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.5-192.168.50.4-61944-61944-6,172.16.0.5,61944,192.168.50.4,61944,6,03/11/2018 04:00:31 PM,103,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29126.21359223301,51.5,71.4177848998413,102.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,19417.47572815534,9708.73786407767,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19497-39521-6,172.16.0.5,19497,192.168.50.4,39521,6,03/11/2018 04:00:31 PM,102,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,51.0,72.12489168102785,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,19607.843137254902,9803.921568627451,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19501-29480-6,172.16.0.5,19501,192.168.50.4,29480,6,03/11/2018 04:00:31 PM,67,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44776.119402985074,33.5,45.96194077712559,66.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,29850.746268656716,14925.373134328358,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19502-12876-6,172.16.0.5,19502,192.168.50.4,12876,6,03/11/2018 04:00:31 PM,101,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29702.970297029704,50.5,70.0035713374682,100.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,19801.980198019803,9900.990099009901,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-15508-15508-6,172.16.0.5,15508,192.168.50.4,15508,6,03/11/2018 04:00:31 PM,101,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29702.970297029704,50.5,70.0035713374682,100.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,19801.980198019803,9900.990099009901,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19504-48051-6,172.16.0.5,19504,192.168.50.4,48051,6,03/11/2018 04:00:31 PM,85,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35294.11764705882,42.5,58.68986283848344,84.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,23529.41176470588,11764.70588235294,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-47157-47157-6,172.16.0.5,47157,192.168.50.4,47157,6,03/11/2018 04:00:31 PM,100,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,50.0,70.71067811865476,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,20000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19507-16890-6,172.16.0.5,19507,192.168.50.4,16890,6,03/11/2018 04:00:31 PM,51,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,25.5,34.64823227814083,50.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,39215.686274509804,19607.843137254902,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19508-26364-6,172.16.0.5,19508,192.168.50.4,26364,6,03/11/2018 04:00:31 PM,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46875.0,32.0,42.42640687119285,62.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,20,31250.0,15625.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-780-780-6,172.16.0.5,780,192.168.50.4,780,6,03/11/2018 04:00:31 PM,120,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,60.0,83.43860018001261,119.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,16666.666666666668,8333.333333333334,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-15730-15730-6,172.16.0.5,15730,192.168.50.4,15730,6,03/11/2018 04:00:31 PM,53,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56603.77358490566,26.5,36.062445840513924,52.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,37735.84905660377,18867.924528301886,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-50357-50357-6,172.16.0.5,50357,192.168.50.4,50357,6,03/11/2018 04:00:31 PM,105,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28571.42857142857,52.5,74.24621202458749,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,19047.619047619046,9523.809523809523,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19513-46284-6,172.16.0.5,19513,192.168.50.4,46284,6,03/11/2018 04:00:31 PM,99,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30303.030303030304,49.5,68.58935777509511,98.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,20202.020202020205,10101.010101010103,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19514-20865-6,172.16.0.5,19514,192.168.50.4,20865,6,03/11/2018 04:00:31 PM,102,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,51.0,70.71067811865476,101.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,19607.843137254902,9803.921568627451,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19515-47606-6,172.16.0.5,19515,192.168.50.4,47606,6,03/11/2018 04:00:31 PM,101,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29702.970297029704,50.5,70.0035713374682,100.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,19801.980198019803,9900.990099009901,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-19517-26412-6,172.16.0.5,19517,192.168.50.4,26412,6,03/11/2018 04:00:31 PM,96,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31250.0,48.0,66.46803743153546,95.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,20833.333333333332,10416.666666666666,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.4-33366-33366-6,172.16.0.5,33366,192.168.50.4,33366,6,03/11/2018 04:00:31 PM,53,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56603.77358490566,26.5,36.062445840513924,52.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,37735.84905660377,18867.924528301886,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5840,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
