Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.5-192.168.50.1-52003-80-6,172.16.0.5,52003,192.168.50.1,80,6,01/12/2018 05:34:49 PM,4517649,9,7,1180.0,2146.0,590.0,0.0,131.11111111111111,260.1655455880181,1073.0,0.0,306.57142857142856,523.570389136888,736.2236419872372,3.5416651448574252,301176.6,1166069.3677176328,4516266.0,1.0,4517500.0,564687.5,1596678.8456247014,4516266.0,1.0,4517530.0,752921.6666666667,1843777.1620180858,4516516.0,1.0,0,0,0,0,304,240,1.9921866439823015,1.5494785008751235,0.0,1073.0,195.64705882352942,383.0907107292721,146758.49264705883,2,4,0,4,14,0,0,0,0.0,207.875,131.11111111111111,306.57142857142856,0,0,0,3326,4,7106837,9,1180,7,2146,65535,236,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-46507-80-6,172.16.0.5,46507,192.168.50.1,80,6,01/12/2018 05:34:50 PM,5002555,8,7,1338.0,2146.0,669.0,0.0,167.25,309.68682337391846,1073.0,0.0,306.57142857142856,523.570389136888,696.4441170561843,2.998467782962906,357325.35714285716,1336629.2943289275,5001305.0,1.0,1250.0,178.57142857142858,265.3047663492291,707.0,1.0,5002446.0,833741.0000000001,2041733.4888312924,5001412.0,1.0,0,0,0,0,272,240,1.5991828175802165,1.3992849653826893,0.0,1073.0,217.75,403.2483932598699,162609.26666666666,1,4,0,4,13,0,0,0,0.0,232.26666666666668,167.25,306.57142857142856,0,0,0,3484,4,5787375,8,1338,7,2146,65535,237,2,32,1250.0,0.0,1250.0,1250.0,5001305.0,0.0,5001305.0,5001305.0,NeedManualLabel
192.168.50.1-172.16.0.5-80-46507-6,192.168.50.1,80,172.16.0.5,46507,6,01/12/2018 05:34:55 PM,179,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11173.1843575419,179.0,0.0,179.0,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5586.59217877095,5586.59217877095,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-53410-80-6,172.16.0.5,53410,192.168.50.1,80,6,01/12/2018 05:35:35 PM,5318272,13,9,2298.0,4290.0,601.0,0.0,176.76923076923075,276.40464113510404,1073.0,0.0,476.6666666666667,565.2572423242359,1238.7482249873642,4.136681989939589,253251.04761904757,1044982.950798647,4785949.0,2.0,5318128.0,443177.3333333334,1376087.067877897,4785949.0,2.0,5318170.0,664771.25,1675644.179321813,4786210.0,3.0,0,0,0,0,432,304,2.4444029940552117,1.6922789958843774,0.0,1073.0,286.4347826086956,428.36919357944623,183500.1660079051,2,4,0,8,20,0,0,0,0.0,299.45454545454544,176.76923076923077,476.6666666666667,0,0,0,6588,8,12395,13,2298,9,4290,65535,245,4,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-35671-80-6,172.16.0.5,35671,192.168.50.1,80,6,01/12/2018 05:35:47 PM,5405765,12,9,1914.0,4290.0,519.0,0.0,159.5,236.85956713938018,1073.0,0.0,476.6666666666667,565.2572423242359,1147.6636516755723,3.8847415675672177,270288.25,1117920.0998981087,5004847.0,2.0,400918.0,36447.090909090904,119654.12392429652,397213.0,2.0,5405607.0,675700.875,1754839.91158831,5005049.0,2.0,0,0,0,0,400,304,2.2198523243241244,1.6648892432430933,0.0,1073.0,282.0,423.922050336975,179709.9047619048,1,4,0,8,19,0,0,0,0.0,295.42857142857144,159.5,476.6666666666667,0,0,0,6204,8,15573,12,1914,9,4290,65535,243,4,32,400918.0,0.0,400918.0,400918.0,5004847.0,0.0,5004847.0,5004847.0,NeedManualLabel
192.168.50.1-172.16.0.5-80-35671-6,192.168.50.1,80,172.16.0.5,35671,6,01/12/2018 05:35:52 PM,191,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.204188481675,191.0,0.0,191.0,191.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5235.602094240838,5235.602094240838,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,243,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-37210-80-6,172.16.0.5,37210,192.168.50.1,80,6,01/12/2018 05:36:01 PM,412996,13,9,1702.0,4290.0,452.0,0.0,130.9230769230769,204.97538939202005,1073.0,0.0,476.6666666666667,565.2572423242359,14508.61509554572,53.26928105841219,19666.47619047619,87891.50023387873,403181.0,2.0,412868.0,34405.666666666664,116156.54090950111,403181.0,2.0,412878.0,51609.75,142323.37858728622,403771.0,2.0,0,0,0,0,432,304,31.477302443607204,21.791978614804986,0.0,1073.0,260.5217391304348,413.79560935818387,171226.8063241107,2,4,0,8,20,0,0,0,0.0,272.3636363636364,130.92307692307693,476.6666666666667,0,0,0,5992,8,14823,0,0,0,0,65535,243,4,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-55020-80-6,172.16.0.5,55020,192.168.50.1,80,6,01/12/2018 05:36:01 PM,5721861,12,9,2298.0,4290.0,603.0,0.0,191.50000000000003,283.38585965877945,1073.0,0.0,476.6666666666667,565.2572423242359,1151.3736527329133,3.6701345943216728,286093.05,1121868.8086314527,5003691.0,2.0,718170.0,65288.181818181816,215957.44831832877,716424.0,2.0,5721708.0,715213.5,1750931.5891152672,5003844.0,2.0,0,0,0,0,400,304,2.097219768183813,1.5729148261378598,0.0,1073.0,299.45454545454544,433.7911201612314,188174.7359307359,1,4,0,8,19,0,0,0,0.0,313.7142857142857,191.5,476.6666666666667,0,0,0,6588,8,9182,12,2298,9,4290,65535,245,4,32,718170.0,0.0,718170.0,718170.0,5003691.0,0.0,5003691.0,5003691.0,NeedManualLabel
192.168.50.1-172.16.0.5-80-55020-6,192.168.50.1,80,172.16.0.5,55020,6,01/12/2018 05:36:06 PM,178,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11235.955056179775,178.0,0.0,178.0,178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5617.9775280898875,5617.9775280898875,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,245,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-37216-80-6,172.16.0.5,37216,192.168.50.1,80,6,01/12/2018 05:36:02 PM,5006153,8,7,960.0,2146.0,480.0,0.0,120.0,222.19682394541235,1073.0,0.0,306.57142857142856,523.570389136888,620.4364908543546,2.9963127375451766,357582.35714285716,1337604.139753647,5004949.0,2.0,1204.0,172.0,259.3729618393817,698.0,2.0,5006034.0,834339.0,2043212.489635476,5005029.0,2.0,0,0,0,0,272,240,1.5980334600240942,1.3982792775210824,0.0,1073.0,194.12499999999997,379.51774222909086,144033.71666666667,1,4,0,4,13,0,0,0,0.0,207.06666666666666,120.0,306.57142857142856,0,0,0,3106,4,4993569,8,960,7,2146,65535,235,2,32,1204.0,0.0,1204.0,1204.0,5004949.0,0.0,5004949.0,5004949.0,NeedManualLabel
192.168.50.1-172.16.0.5-80-37216-6,192.168.50.1,80,172.16.0.5,37216,6,01/12/2018 05:36:07 PM,171,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11695.906432748538,171.0,0.0,171.0,171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5847.953216374269,5847.953216374269,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,64,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.0.5-192.168.50.1-50437-80-6,172.16.0.5,50437,192.168.50.1,80,6,01/12/2018 05:36:13 PM,5302590,12,9,1740.0,4290.0,462.0,0.0,145.0,214.79715589788003,1073.0,0.0,476.6666666666667,565.2572423242359,1137.1801327275916,3.9603288204443485,265129.5,1117579.6369948436,5004900.0,2.0,297690.0,27062.727272727272,89159.28151582528,295887.0,2.0,5302467.0,662808.375,1757593.3417443244,5005051.0,2.0,0,0,0,0,400,304,2.2630450402539135,1.697283780190435,0.0,1073.0,274.0909090909091,420.20821472568065,176574.94372294372,1,4,0,8,19,0,0,0,0.0,287.14285714285717,145.0,476.6666666666667,0,0,0,6030,8,20300,12,1740,9,4290,65535,243,4,32,297690.0,0.0,297690.0,297690.0,5004900.0,0.0,5004900.0,5004900.0,NeedManualLabel
