Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
20.207.73.82-172.20.10.2-443-40582-6,20.207.73.82,443,172.20.10.2,40582,6,02/02/2026 12:55:31 PM,563,1,1,39.0,0.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,69271.75843694493,3552.3978685612788,563.0,0.0,563.0,563.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1776.1989342806394,1776.1989342806394,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,1.0,39.0,39.0,0.0,0,0,0,0,0,0,0,0,0,0,116,515,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.207.73.82-172.20.10.2-443-40582-6,20.207.73.82,443,172.20.10.2,40582,6,02/02/2026 12:55:31 PM,108,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,222222.22222222222,27777.777777777777,54.0,76.36753236814714,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,20,18518.51851851852,9259.25925925926,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,116,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.207.73.85-172.20.10.2-443-40481-6,20.207.73.85,443,172.20.10.2,40481,6,02/02/2026 12:55:38 PM,874,1,1,39.0,0.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,44622.42562929062,2288.329519450801,874.0,0.0,874.0,874.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1144.1647597254005,1144.1647597254005,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,1.0,39.0,39.0,0.0,0,0,0,0,0,0,0,0,0,0,141,515,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.207.73.85-172.20.10.2-443-40481-6,20.207.73.85,443,172.20.10.2,40481,6,02/02/2026 12:55:38 PM,73,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,328767.12328767125,41095.890410958906,36.5,51.61879502661797,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,20,27397.260273972603,13698.630136986301,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,141,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-185.199.108.154-40587-443-6,172.20.10.2,40587,185.199.108.154,443,6,02/02/2026 12:55:42 PM,15162369,2,2,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.06595275448051686,0.26381101792206746,5054123.0,8648833.928697383,1.5040902E7,38101.0,1.5079003E7,1.5079003E7,0.0,1.5079003E7,1.5079003E7,1.5124268E7,1.5124268E7,0.0,1.5124268E7,1.5124268E7,0,0,0,0,40,52,0.13190550896103373,0.13190550896103373,0.0,1.0,0.4,0.5477225575051661,0.3,2,0,0,0,4,0,0,0,1.0,0.5,0.5,0.0,0,0,0,0,0,0,2,1,2,0,515,288,0,20,38101.0,0.0,38101.0,38101.0,1.5040902E7,0.0,1.5040902E7,1.5040902E7,NeedManualLabel
172.20.10.2-185.199.108.154-40587-443-6,172.20.10.2,40587,185.199.108.154,443,6,02/02/2026 12:55:57 PM,3991,2,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,6013.530443497871,1002.2550739163117,1330.3333333333333,1322.5695948922057,2645.0,0.0,3991.0,3991.0,0.0,3991.0,3991.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,40,501.1275369581559,501.1275369581559,0.0,24.0,4.8,10.73312629199899,115.2,0,0,1,1,4,0,0,0,1.0,6.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,515,288,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.5-98.211.0.44-0-0-0,134.221.96.5,0,98.211.0.44,0,0,02/02/2026 12:55:31 PM,100024366,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.05998538396134398,2.00048732E7,209619.88326420754,2.0300078E7,1.9707578E7,1.00024366E8,2.00048732E7,209619.88326420754,2.0300078E7,1.9707578E7,0,0,0,0,0,0,0,0,0,0,0,0.05998538396134398,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.00048732E7,209619.88326420754,2.0300078E7,1.9707578E7,NeedManualLabel
134.221.96.5-98.211.0.20-0-0-0,134.221.96.5,0,98.211.0.20,0,0,02/02/2026 12:55:31 PM,100030125,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07997590725793854,1.4290017857142856E7,8837893.240754183,2.0020207E7,1012326.0,1.00030125E8,1.4290017857142856E7,8837893.240754183,2.0020207E7,1012326.0,0,0,0,0,0,0,0,0,0,0,0,0.07997590725793854,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2851845.0,0.0,2851845.0,2851845.0,1.9435656E7,1112447.6705362368,2.0020207E7,1.745856E7,NeedManualLabel
134.221.96.0-0.0.0.20-0-0-0,134.221.96.0,0,0.0.0.20,0,0,02/02/2026 12:55:34 PM,119777891,133,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1103885607737074,907408.2651515151,1587464.306436463,9001067.0,0.0,1.19777891E8,907408.2651515151,1587464.306436463,9001067.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.1103885607737074,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.54771918E7,1.5911699340879958E7,3.8829495E7,3849927.0,6893878.2,1418275.2722718182,9001067.0,5011643.0,NeedManualLabel
134.221.96.0-0.0.0.52-0-0-0,134.221.96.0,0,0.0.0.52,0,0,02/02/2026 12:55:34 PM,117763741,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.059441046459283255,1.9627290166666668E7,2.9647894124513514E7,6.6914447E7,606352.0,1.17763741E8,1.9627290166666668E7,2.9647894124513514E7,6.6914447E7,606352.0,0,0,0,0,0,0,0,0,0,0,0,0.059441046459283255,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2769852.0,0.0,2769852.0,2769852.0,5.7043706E7,1.3959335792872166E7,6.6914447E7,4.7172965E7,NeedManualLabel
