Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.20.10.2-64.29.17.1-39542-443-6,172.20.10.2,39542,64.29.17.1,443,6,02/02/2026 12:30:02 PM,3875244,10,8,1855.0,4426.0,1360.0,0.0,185.5,434.01926480540266,4080.0,0.0,553.25,1428.4187811302797,1620.8011676168005,4.644868813421813,227955.5294117647,658499.0761892834,2601756.0,0.0,3841932.0,426881.3333333333,879409.7990004433,2601756.0,0.0,2820425.0,402917.85714285716,1008235.3468973119,2688802.0,0.0,0,0,0,0,236,184,2.5804826741232296,2.0643861392985836,0.0,4080.0,330.57894736842104,963.0517648363384,927468.701754386,2,4,0,4,16,0,0,0,0.0,348.94444444444446,185.5,553.25,0,0,0,6281,6,48472,5,927,4,2213,64240,332,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.21-39563-443-6,172.20.10.2,39563,140.82.113.21,443,6,02/02/2026 12:30:08 PM,673352,6,4,1885.0,4096.0,1360.0,0.0,314.1666666666667,553.7184904503972,4080.0,0.0,1024.0,2037.3472948910796,8882.427021825139,14.851073435587926,74816.88888888888,121762.80560832651,328477.0,0.0,673352.0,134670.4,140026.04001149215,328562.0,0.0,344712.0,114904.0,199019.56599289426,344712.0,0.0,0,0,0,0,132,92,8.910644061352755,5.94042937423517,0.0,4080.0,543.7272727272727,1245.78682694184,1551984.8181818181,1,2,1,3,9,0,0,0,0.0,598.1,314.1666666666667,1024.0,0,0,0,5981,4,17399,0,0,0,0,64240,70,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.21-39564-443-6,172.20.10.2,39564,140.82.113.21,443,6,02/02/2026 12:30:08 PM,675892,6,3,1742.0,1360.0,1360.0,0.0,290.3333333333333,545.8504068576542,1360.0,0.0,453.3333333333333,785.196366097891,4589.490628680322,13.315736833695324,84486.5,145820.60256552033,344390.0,0.0,675892.0,135178.4,169687.42668300442,344482.0,0.0,331427.0,165713.5,233186.1387657937,330601.0,826.0,0,0,0,0,132,72,8.877157889130215,4.438578944565108,0.0,1360.0,310.2,565.9685503630038,320320.4,1,2,1,1,8,0,0,0,0.0,344.6666666666667,290.3333333333333,453.3333333333333,0,0,0,0,0,0,0,0,0,0,64240,68,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-135.171.2.152-39514-443-6,172.20.10.2,39514,135.171.2.152,443,6,02/02/2026 12:30:22 PM,136643,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.636680986219567,136643.0,0.0,136643.0,136643.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.318340493109783,7.318340493109783,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,510,16389,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.21-39615-443-6,172.20.10.2,39615,140.82.113.21,443,6,02/02/2026 12:30:22 PM,1509002,9,11,3882.0,6446.0,1360.0,0.0,431.3333333333333,581.815907310895,2720.0,0.0,586.0,879.699948846196,6844.2586557208015,13.253792904184355,79421.15789473685,152450.65292096732,388016.0,0.0,1126816.0,140852.0,191508.1120094618,388187.0,0.0,1120986.0,112098.59999999998,173218.31489013444,390992.0,0.0,0,0,0,0,192,232,5.96420680688296,7.289586097301395,0.0,2720.0,491.8095238095239,735.4991923209445,540959.0619047618,1,2,0,8,19,0,0,0,1.0,516.4,431.3333333333333,586.0,0,0,0,10328,12,9220,0,0,0,0,64240,74,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.21-39615-443-6,172.20.10.2,39615,140.82.113.21,443,6,02/02/2026 12:30:23 PM,1200,4,0,24.0,0.0,24.0,0.0,6.0,12.0,0,0,0,0,20000.0,3333.3333333333335,400.0,166.77229985821987,579.0,249.0,1200.0,400.0,166.77229985821987,579.0,249.0,0,0,0,0,0,0,0,0,0,80,0,3333.3333333333335,0.0,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,4,0,0,0,0.0,6.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
140.82.113.21-172.20.10.2-443-39615-6,140.82.113.21,443,172.20.10.2,39615,6,02/02/2026 12:30:24 PM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.21-39565-443-6,172.20.10.2,39565,140.82.113.21,443,6,02/02/2026 12:30:08 PM,21252482,8,9,1806.0,5869.0,1360.0,0.0,225.75,476.88206089136963,4080.0,0.0,652.1111111111111,1357.7516750536936,361.1342901031512,0.7999065709125174,1328280.1249999998,5036511.692861106,2.0208881E7,0.0,1043299.0,149042.71428571426,174893.00181988825,345990.0,0.0,2.0925477E7,2615684.625,7110471.981774385,2.0208952E7,0.0,0,0,0,0,172,192,0.3764266216058905,0.42347994930662686,0.0,4080.0,426.38888888888874,1008.8503147228234,1017778.95751634,1,2,0,7,16,0,0,0,1.0,451.47058823529414,225.75,652.1111111111111,0,0,0,7651,8,10695,8,1806,9,5869,64240,70,3,20,1043299.0,0.0,1043299.0,1043299.0,2.0208881E7,0.0,2.0208881E7,2.0208881E7,NeedManualLabel
172.20.10.2-34.223.124.45-39625-80-6,172.20.10.2,39625,34.223.124.45,80,6,02/02/2026 12:30:27 PM,9853191,8,8,1404.0,2478.0,490.0,0.0,175.5,243.02968660521407,1300.0,0.0,309.75,453.2904303928269,393.9840402971991,1.6238394242027785,656879.3999999999,1222200.5348580896,4856797.0,0.0,4996394.0,713770.5714285715,439697.9524043966,1373596.0,240594.0,8479021.0,1211288.7142857143,1712696.6418304318,4900864.0,0.0,0,0,0,0,184,164,0.8119197121013892,0.8119197121013892,0.0,1300.0,228.35294117647052,351.71418459746377,123702.86764705883,1,3,0,6,14,0,0,0,1.0,242.625,175.5,309.75,0,0,0,3393,6,2978,2,468,2,826,64240,28944,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-20.207.73.85-39556-443-6,172.20.10.2,39556,20.207.73.85,443,6,02/02/2026 12:30:07 PM,31646801,16,18,3273.0,8260.0,1360.0,0.0,204.5625,409.88501944651097,2720.0,0.0,458.88888888888886,753.5118476674161,364.4286194993295,1.0743581950036594,958993.9696969697,5255717.078867869,3.0231363E7,0.0,3.1599416E7,2106627.7333333334,7782048.852181047,3.0231681E7,0.0,3.1581031E7,1857707.705882353,7312752.033092165,3.0231428E7,0.0,0,0,0,0,332,372,0.5055803270605456,0.5687778679431137,0.0,2720.0,329.5142857142858,614.3388302226449,377412.1983193278,2,2,0,17,33,0,0,0,1.0,339.20588235294116,204.5625,458.8888888888889,0,0,0,11470,19,8829,16,3273,18,8260,64240,75,8,20,1367735.0,0.0,1367735.0,1367735.0,3.0231363E7,0.0,3.0231363E7,3.0231363E7,NeedManualLabel
