Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.20.10.2-172.20.10.1-29764-53-6,172.20.10.2,29764,172.20.10.1,53,6,02/02/2026 11:39:16 AM,1193301,4,6,37.0,100.0,35.0,0.0,9.25,17.192537140670463,100.0,0.0,16.666666666666668,40.824829046386306,114.80757998191572,8.380115327147132,132589.0,395068.3661178151,1186098.0,0.0,4498.0,1499.3333333333335,2155.4807661710493,3986.0,164.0,1189461.0,237892.2,530065.1566715172,1186098.0,0.0,0,0,0,0,92,132,3.352046130858853,5.028069196288279,0.0,100.0,12.454545454545453,30.858916495443054,952.2727272727274,1,2,0,3,9,0,0,0,1.0,13.7,9.25,16.666666666666668,0,0,0,0,0,0,4,37,6,100,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-29764-53-6,172.20.10.2,29764,172.20.10.1,53,6,02/02/2026 11:39:17 AM,3113,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,963.70061034372,1556.5,2025.8609280994588,2989.0,124.0,3113.0,1556.5,2025.8609280994588,2989.0,124.0,0,0,0,0,0,0,0,0,0,60,0,963.70061034372,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,511,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-29809-53-6,172.20.10.2,29809,172.20.10.1,53,6,02/02/2026 11:39:20 AM,131724,4,6,34.0,62.0,32.0,0.0,8.5,15.69500982265807,62.0,0.0,10.333333333333334,25.311394008759507,728.7965746560991,75.91630986001032,14636.0,41557.44336758459,125402.0,0.0,3621.0,1207.0,1929.5794878677582,3435.0,76.0,128393.0,25678.6,55762.11795475491,125402.0,0.0,0,0,0,0,92,132,30.36652394400413,45.54978591600619,0.0,62.0,8.727272727272727,20.085272759367292,403.41818181818184,1,2,0,3,9,0,0,0,1.0,9.6,8.5,10.333333333333334,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-29809-53-6,172.20.10.2,29809,172.20.10.1,53,6,02/02/2026 11:39:20 AM,1209,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2481.3895781637716,604.5,787.0098474606274,1161.0,48.0,1209.0,604.5,787.0098474606274,1161.0,48.0,0,0,0,0,0,0,0,0,0,60,0,2481.3895781637716,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,511,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-29823-53-6,172.20.10.2,29823,172.20.10.1,53,6,02/02/2026 11:39:22 AM,121045,5,6,39.0,67.0,37.0,0.0,7.8,16.34625339336204,67.0,0.0,11.166666666666668,27.352635461078822,875.7073815523153,90.87529431203272,12104.5,30396.648705079315,98071.0,0.0,118153.0,29538.250000000004,46926.77973449702,99367.0,122.0,22974.0,4594.8,6180.1787757313305,14258.0,0.0,0,0,0,0,112,132,41.30695196001487,49.568342352017844,0.0,67.0,8.833333333333334,21.160999002596235,447.7878787878788,2,2,0,3,10,0,0,0,1.0,9.636363636363637,7.8,11.166666666666666,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-29823-53-6,172.20.10.2,29823,172.20.10.1,53,6,02/02/2026 11:39:22 AM,2049,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0858955588092,2049.0,0.0,2049.0,2049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,488.0429477794046,488.0429477794046,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.22-29910-443-6,172.20.10.2,29910,140.82.113.22,443,6,02/02/2026 11:39:35 AM,692650,6,6,1905.0,5635.0,1360.0,0.0,317.5,555.2994687553734,4080.0,0.0,939.1666666666667,1627.0275248644896,10885.728723020284,17.32476719844077,62968.18181818182,116056.12900387311,341109.0,0.0,692650.0,138530.0,143563.34223784288,341183.0,0.0,351439.0,70287.8,157168.2987889097,351439.0,0.0,0,0,0,0,132,132,8.662383599220385,8.662383599220385,0.0,4080.0,580.0,1165.537143695272,1358476.8333333335,1,2,1,4,11,0,0,0,1.0,628.3333333333334,317.5,939.1666666666666,0,0,0,7540,6,21502,0,0,0,0,64240,70,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-140.82.113.22-29911-443-6,172.20.10.2,29911,140.82.113.22,443,6,02/02/2026 11:39:35 AM,756903,6,4,1794.0,4096.0,1360.0,0.0,299.0,548.0054744252104,4080.0,0.0,1024.0,2037.3472948910796,7781.710470165926,13.211732546971012,84100.33333333334,154739.93607420806,403016.0,0.0,756903.0,151380.6,187627.96756427333,403095.0,0.0,353683.0,117894.33333333334,204198.9752577944,353683.0,0.0,0,0,0,0,132,92,7.927039528182608,5.2846930187884045,0.0,4080.0,535.4545454545456,1246.2256909273185,1553078.4727272727,1,2,1,3,9,0,0,0,0.0,589.0,299.0,1024.0,0,0,0,5890,4,16690,0,0,0,0,64240,70,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-20.207.73.82-29875-443-6,172.20.10.2,29875,20.207.73.82,443,6,02/02/2026 11:39:30 AM,8561069,7,7,1895.0,3277.0,1360.0,0.0,270.7142857142857,510.3158219134873,2720.0,0.0,468.1428571428572,1002.5351911647838,604.1301617823663,1.635309796007952,658543.7692307692,2017328.994160643,7300823.0,0.0,1260246.0,210041.0,425935.1123699477,1075146.0,0.0,7486158.0,1247693.0,2965899.130427736,7301102.0,0.0,0,0,0,0,152,152,0.817654898003976,0.817654898003976,0.0,2720.0,344.8,749.1326603860913,561199.7428571428,1,2,0,5,13,0,0,0,1.0,369.42857142857144,270.7142857142857,468.14285714285717,0,0,0,5148,6,28366,3,947,3,1638,64240,70,3,20,1260246.0,0.0,1260246.0,1260246.0,7300823.0,0.0,7300823.0,7300823.0,NeedManualLabel
172.20.10.2-13.107.5.93-29919-443-6,172.20.10.2,29919,13.107.5.93,443,6,02/02/2026 11:39:37 AM,4489722,9,15,2797.0,11633.0,1278.0,0.0,310.77777777777777,489.92850952403705,4080.0,0.0,775.5333333333333,1308.77401010404,3214.007459704632,5.3455425525232965,195205.30434782605,831394.7660786352,4006199.0,0.0,4415056.0,551882.0,1396819.2668787593,4006199.0,1107.0,4429227.0,316373.35714285716,1084179.535500932,4080978.0,0.0,0,0,0,0,192,312,2.004578457196236,3.34096409532706,0.0,4080.0,577.1999999999999,1069.7102411400947,1144279.9999999998,2,2,0,10,23,0,0,0,1.0,601.25,310.77777777777777,775.5333333333333,0,0,0,14430,12,41591,9,2797,15,11633,64240,16384,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
