Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
20.207.73.82-172.20.10.2-443-39311-6,20.207.73.82,443,172.20.10.2,39311,6,02/02/2026 12:23:19 PM,608,1,1,39.0,0.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,64144.73684210526,3289.4736842105262,608.0,0.0,608.0,608.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1644.7368421052631,1644.7368421052631,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,1.0,39.0,39.0,0.0,0,0,0,0,0,0,0,0,0,0,78,514,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.207.73.82-172.20.10.2-443-39311-6,20.207.73.82,443,172.20.10.2,39311,6,02/02/2026 12:23:19 PM,109,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,220183.4862385321,27522.93577981651,54.5,77.07463914933368,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,20,18348.623853211007,9174.311926605504,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,78,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.207.73.85-172.20.10.2-443-39304-6,20.207.73.85,443,172.20.10.2,39304,6,02/02/2026 12:23:19 PM,509,1,1,39.0,0.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,76620.82514734774,3929.2730844793714,509.0,0.0,509.0,509.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1964.6365422396857,1964.6365422396857,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,1.0,39.0,39.0,0.0,0,0,0,0,0,0,0,0,0,0,84,511,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.207.73.85-172.20.10.2-443-39304-6,20.207.73.85,443,172.20.10.2,39304,6,02/02/2026 12:23:20 PM,147,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,163265.306122449,20408.163265306124,73.5,103.94469683442249,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,20,13605.442176870749,6802.721088435374,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,84,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
140.82.114.22-172.20.10.2-443-39313-6,140.82.114.22,443,172.20.10.2,39313,6,02/02/2026 12:23:10 PM,14294110,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,1.6790132439165502,0.2798355406527584,4764703.333333333,8252589.611130092,1.4293973E7,0.0,0.0,0.0,0.0,0.0,0.0,1.4293973E7,1.4293973E7,0.0,1.4293973E7,1.4293973E7,1,0,0,0,40,40,0.1399177703263792,0.1399177703263792,0.0,24.0,9.6,13.145341380123988,172.8,2,0,0,1,4,0,0,0,1.0,12.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,70,514,0,20,137.0,0.0,137.0,137.0,1.4293973E7,0.0,1.4293973E7,1.4293973E7,NeedManualLabel
172.20.10.2-172.20.10.1-39372-53-6,172.20.10.2,39372,172.20.10.1,53,6,02/02/2026 12:23:29 PM,15578,4,6,34.0,83.0,32.0,0.0,8.5,15.69500982265807,83.0,0.0,13.833333333333334,33.88460810850063,7510.59186031583,641.9309282321223,1730.888888888889,2518.230005601377,5387.0,0.0,5763.0,1921.0,3122.983349299192,5526.0,41.0,10192.0,2038.4,2798.7685327657946,5387.0,0.0,0,0,0,0,92,132,256.7723712928489,385.15855693927335,0.0,83.0,10.636363636363637,25.831270689893394,667.2545454545455,1,2,0,3,9,0,0,0,1.0,11.7,8.5,13.833333333333334,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-39373-53-6,172.20.10.2,39373,172.20.10.1,53,6,02/02/2026 12:23:29 PM,16086,4,6,34.0,71.0,32.0,0.0,8.5,15.69500982265807,71.0,0.0,11.833333333333332,28.985628622934275,6527.415143603133,621.6585851050603,1787.333333333333,2761.0683620656696,6346.0,0.0,6602.0,2200.666666666667,3651.587645577377,6417.0,61.0,9740.0,1948.0,2837.1490091287064,6237.0,0.0,0,0,0,0,92,132,248.66343404202414,372.9951510630362,0.0,71.0,9.545454545454545,22.509391979187875,506.6727272727274,1,2,0,3,9,0,0,0,1.0,10.5,8.5,11.833333333333334,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-39371-53-6,172.20.10.2,39371,172.20.10.1,53,6,02/02/2026 12:23:29 PM,73472,5,7,34.0,105.0,32.0,0.0,6.8,14.113823011501879,105.0,0.0,15.0,39.68626966596886,1891.8771777003485,163.3275261324042,6679.272727272727,11794.548750087126,33810.0,0.0,36632.0,9158.0,14519.434493119901,30540.0,53.0,67612.0,11268.666666666666,15780.576943403134,33810.0,0.0,0,0,0,0,112,152,68.05313588850174,95.27439024390245,0.0,105.0,10.692307692307692,29.674300371939733,880.5641025641025,2,2,0,3,11,0,0,0,1.0,11.583333333333334,6.8,15.0,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-39375-53-6,172.20.10.2,39375,172.20.10.1,53,6,02/02/2026 12:23:29 PM,25959,4,6,35.0,63.0,33.0,0.0,8.75,16.194134740701646,63.0,0.0,10.5,25.71964229922337,3775.183943911553,385.2228514195462,2884.3333333333335,6637.2402397382,20354.0,0.0,20889.0,6963.0,11682.919198556498,20452.0,58.0,5605.0,1121.0,1543.1791859664256,3027.0,0.0,0,0,0,0,92,132,154.08914056781848,231.13371085172773,0.0,63.0,8.90909090909091,20.46682459715989,418.890909090909,1,2,0,3,9,0,0,0,1.0,9.8,8.75,10.5,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.20.10.2-172.20.10.1-39376-53-6,172.20.10.2,39376,172.20.10.1,53,6,02/02/2026 12:23:29 PM,27063,4,6,35.0,51.0,33.0,0.0,8.75,16.194134740701646,51.0,0.0,8.5,20.820662813657012,3177.770387614086,369.50818460628903,3007.0,6529.408663883736,19961.0,0.0,20277.0,6759.0,11607.342374548965,20162.0,48.0,7102.0,1420.4,1979.9414890344613,4075.0,0.0,0,0,0,0,92,132,147.8032738425156,221.70491076377343,0.0,51.0,7.818181818181818,17.382854666700645,302.16363636363633,1,2,0,3,9,0,0,0,1.0,8.6,8.75,8.5,0,0,0,0,0,0,0,0,0,0,64240,8192,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
